,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGA-86-7953-01A,16.286617,17.364164,-1.7696184,7.198306,13.897159,-6.0819445,3.7404714,-9.766773,12.043876,-5.668878,-8.691161,-4.9005575,5.6498094,-1.634898,-9.968057,-9.637804,1.6198304,-3.1506987,-1.2684114,-3.657936,2.5466137,-8.047323,9.408997,-3.091629,7.6547832,17.499638,-1.544821,4.1820126,3.5828555,1.5878543,-9.806703,-0.443259,1.3173742,-12.812571,-1.3461523,-10.515295,4.6085496,7.195846,-0.14269522,-3.297567,-4.1997633,-3.09035,1.7448791,13.447273,8.955744,-18.659466,-1.8149292,12.917559,7.250848,-3.143625,1.6677057,8.094066,-15.160187,-2.8953884,-0.44422585,1.570153,-0.9281696,14.719278,-7.9884825,4.213167,1.6781211,3.7068343,-1.1310213,5.31023,5.7363777,4.093412,0.13117553,-6.9471283,8.113113,0.2829941,0.012060374,-9.262427,-12.589073,7.200434,-0.9407811,0.10321584,-10.12801,2.8729994,-1.7747405,4.5615396,-5.371477,6.18911,-23.040916,-8.483267,-2.0503533,1.2318486,3.4897387,12.577692,-18.404667,-11.2540865,0.57909787,-5.919072,-2.069199,19.062368,-3.4307952,20.324837,-7.8136773,-7.7360096,-2.7077272,2.800707
TCGA-91-6830-01A,-9.291315,2.991141,-2.8450875,5.059481,8.9848585,4.4264064,10.59474,-2.3465319,1.3276216,6.7717443,5.540521,8.111801,12.154304,-10.702078,8.346372,-4.8038783,-2.3310719,5.8337746,-11.108899,-1.9015243,5.955221,-5.8821635,13.506599,-0.4591219,-6.792516,9.836111,-13.752544,-6.8458743,-14.49842,7.636709,-13.356471,-12.766054,-0.6820506,-1.4167811,-9.892829,2.5271044,-3.600833,-10.006668,15.735245,1.640668,8.132802,-2.6347957,3.8838956,-0.98463374,10.208741,-2.4671504,-2.7655497,-5.164156,-5.4928613,2.4945266,15.449379,-8.783856,7.582089,4.975698,11.227599,-4.475986,-6.4833856,15.285024,-2.47204,-2.5896351,-17.513016,3.610348,9.283127,8.945362,7.073956,11.985178,-1.5414921,-6.7170453,-6.666646,-15.296775,-5.096414,6.8632793,-0.24323238,-8.94399,-10.501535,-0.6321183,3.3399847,-11.208803,-16.129934,2.975401,3.3748624,-0.6335632,-9.935345,1.8065587,-5.464793,-8.146714,-3.2622511,-5.6148787,2.7562654,0.33888417,-6.787598,-2.6928382,10.409673,-12.741027,4.8220057,-4.8561883,-0.35375527,-2.7698455,-3.382023,0.9392197
TCGA-97-7546-01A,-10.783125,-8.028311,-12.273451,-5.833606,-4.494904,7.688673,5.136573,-14.334577,12.143119,1.0514969,1.8954476,3.7187274,-11.66942,-6.462478,-0.46412623,8.926752,-6.560792,6.5434837,4.292698,-4.7242527,-5.319781,8.82656,2.8067138,1.0992618,-5.6170774,0.37994787,-0.05258828,3.0911043,-2.334613,-2.7205327,-3.6926508,-2.9214668,2.29997,-5.0038533,1.3641261,-0.78867656,9.13083,-6.607544,6.588369,5.743915,-1.4808283,-3.4774659,-3.5021796,-2.8573337,-0.67869395,7.318235,-8.785827,9.217643,-2.6240573,5.7328863,15.350564,-11.054075,6.827336,14.773291,1.0546767,9.374466,9.259458,-4.54208,3.1082332,6.7556963,-6.7450514,5.010947,-12.812163,-6.36905,-9.219785,0.70425457,-4.8098407,1.9883326,-13.576443,0.6864256,-8.5955105,3.8373141,-5.460975,-5.7884583,-14.6036215,8.4122,9.175036,1.2796313,-2.4230056,-5.6335235,-0.265609,-2.3869865,-7.2354417,-0.49262184,-9.6435585,-8.091177,-0.84517753,-3.975414,-15.264879,15.012434,-6.058686,7.9177814,1.478177,-7.4362183,15.3662615,-5.436013,-3.1746452,-1.6185126,10.598476,1.0148962
TCGA-49-4487-01A,6.9860225,9.339517,-4.2306395,-2.1824956,-2.3191833,-5.9175143,3.7044444,-7.653238,3.0140226,1.534905,-7.779861,-5.303605,-3.9595852,-9.763651,-0.5847078,8.21508,3.5770745,-7.977659,-7.4148655,5.749984,8.8129425,7.349851,5.8221416,0.86189497,-10.170494,-1.1500653,4.377146,7.1006155,2.8980107,16.084755,12.505487,3.0048292,3.8335798,8.274279,1.0720719,-7.0518556,7.760753,-10.212407,11.409341,-1.0572357,5.350229,1.4565498,-8.800625,23.06414,10.761062,5.401412,0.876688,3.3992314,10.800382,3.0690963,8.744611,0.7398899,-22.464687,-0.42784306,-2.0918593,10.394352,19.30225,0.11121304,-0.79890645,6.1289554,3.0077615,8.615522,-12.162642,-7.9321194,12.22177,-5.015538,-1.8436341,-2.2118301,-1.0122651,4.8674192,-4.1015587,10.296887,-5.787457,-6.7548823,4.443578,-3.5976417,-3.7397041,-0.3228426,1.9023492,-0.17346732,-6.380041,9.411292,-14.174881,-9.718555,-5.328939,14.628141,1.434004,11.304978,-1.8261578,-7.256146,1.7321109,9.831472,7.0026927,5.707188,2.3091724,-10.21776,-12.160766,1.475873,1.3462493,-5.1056504
TCGA-05-4405-01A,4.5956373,-7.3823366,-4.117308,-1.6532509,-6.6636715,-12.329953,5.4683347,-13.704361,-0.5494636,-1.4271662,-12.973788,0.42911854,3.665966,-1.5717856,-8.176686,6.317184,13.067063,-3.627934,-8.838542,8.468928,-14.967483,-3.89307,5.113979,2.2522876,-6.572886,-0.014656456,3.5010982,3.800233,8.532916,-4.4293795,4.8756046,1.8421478,9.494907,-3.3180165,-2.9432397,1.8138626,-1.1045051,-1.7466688,1.8481911,-2.8237913,-3.404935,3.064891,-4.623564,12.551236,0.8110699,11.91195,-4.572325,3.2844324,-3.174644,-1.4003488,12.056192,2.151359,3.861656,-4.585971,8.440282,10.567993,3.4949365,-3.318797,9.275082,0.9968807,-9.567726,6.582993,-15.835101,-7.005501,-5.7782393,-7.531594,-10.368875,-3.087472,-8.844649,-4.576633,-8.89866,-1.3399885,-5.7213445,4.448101,-25.96357,18.280424,-6.0694814,-5.2350883,12.57542,1.9774941,-1.3557912,-5.9586644,-6.5457654,-6.40201,-4.034469,2.043347,6.337164,3.34529,-16.116007,17.656454,-1.8899949,-1.6636765,5.960781,-5.0134907,-5.4644694,8.483955,-10.864381,-4.0159454,2.6972907,4.0220604
TCGA-50-6592-01A,3.5137603,12.035053,17.045778,14.3831625,8.154917,-9.462726,5.0590644,-11.219654,3.3708706,7.3140655,-2.1508908,3.6432397,12.368055,0.6029013,-6.1433554,-5.606268,7.8482995,-5.244972,-11.607423,2.3722556,-2.0859244,-11.781787,2.960113,-6.679188,-2.640658,-1.242399,-9.999134,-6.4882,-6.3951178,16.933979,-7.4153557,-4.372059,-9.807314,-4.5266094,-12.421088,-3.852201,-2.7961712,-5.8868012,9.067598,-1.128254,-1.8511585,10.496183,3.909299,11.39098,2.8970366,-3.1887503,-3.825493,-6.017631,-6.275038,-6.3530817,1.37888,-2.1825206,-10.581573,-3.7395985,1.940377,8.251405,-3.7392802,11.447227,-10.269477,1.5113502,-12.121022,7.928552,2.4383392,12.146652,8.473848,8.162128,2.1780484,-4.2113724,6.704839,0.5078593,-18.023582,8.202678,8.206854,4.4582543,-1.4853276,-3.0122347,-7.597042,-4.546813,0.8062022,13.803656,3.0574741,-4.6313205,-18.573797,-2.2349539,0.8787369,14.834911,-3.3565884,-6.397791,-3.1664593,-22.687939,1.3809505,-23.661646,15.568657,1.7243179,-7.6362596,6.6385007,-5.3170567,6.792804,-1.3708291,4.4307866
TCGA-78-7159-01A,6.077621,-6.573381,-4.4513493,-4.878777,1.3765726,-2.0631044,15.328894,-12.710831,10.547308,-1.1465286,1.3021958,-11.797903,-3.3499384,-2.5752323,9.99469,2.3213212,2.6202378,-13.197094,-4.8733654,4.1012034,-2.1892424,-2.608784,-4.3686457,-9.392795,2.9170525,6.443117,6.624133,9.660638,5.9312515,-1.7145452,17.56857,8.767395,-8.923981,-7.030587,5.9575343,-7.704227,2.4834092,-0.3791898,7.3857665,0.7660653,5.630812,3.539391,0.7685616,20.235023,6.8437214,0.64709306,-3.3428886,13.938335,11.469372,-3.558202,5.498166,12.8613825,-15.586046,1.9265429,-2.7382278,6.97296,10.091078,-1.8618699,-1.9972997,9.123279,7.842228,5.214588,-3.8388164,-8.507228,-3.6343,2.7383611,2.052967,-1.4603597,-4.667373,0.85342586,3.4189596,-6.8160954,-2.8782244,-7.5217,-10.495208,-2.5909758,0.3535516,18.385208,3.7593517,-8.770464,-21.097797,12.547473,-14.89416,-8.927651,6.255817,-0.63281405,6.6485753,8.283091,-2.269611,2.2863514,-18.193537,10.478778,2.0062945,10.354795,-1.3567234,7.461843,-12.815919,-6.2289553,4.678951,-7.0190606
TCGA-69-8453-01A,-23.62342,1.8016818,16.13073,-2.9964175,-2.7155595,6.287013,2.306445,2.0730362,4.2550936,-0.64854753,13.627706,-2.2143137,4.5633926,5.179652,-12.710005,-4.3293176,4.135862,-0.7626922,12.17241,0.287731,-3.164403,2.897999,7.0612106,-4.228983,-2.8726127,-8.7687435,-8.289598,-1.3542066,-1.5263357,13.307951,-10.283757,-6.9236355,-3.5149767,14.336193,0.22993517,-4.8051596,1.6785554,0.5431176,-10.506495,-0.10454356,7.1873326,-10.308031,4.9499383,-0.8835945,1.0843436,-20.42244,2.6292229,-10.383341,0.7615123,-7.43012,2.9522924,6.0927253,-5.876935,-6.8629284,2.186755,1.6948905,-2.5021422,6.2948036,-6.602496,0.35572135,0.66073513,-11.899759,-2.1011214,5.16895,7.515615,6.0243344,10.845741,2.0471327,3.8816175,6.68731,-3.7183359,4.4166055,3.1038258,2.7366822,-2.0433147,-10.0694,2.9368632,2.9912896,-12.682507,-8.978004,19.041298,5.827172,4.6420417,6.704284,-18.415655,2.8184397,3.9680233,-8.290515,1.8304418,-0.06457266,-1.0206429,5.523857,1.5135448,-10.129044,0.6030592,-11.7840805,13.575762,2.5444164,1.342988,1.4488049
TCGA-MN-A4N1-01A,-5.812655,-7.0538883,14.04433,-11.421819,-8.312545,0.7906897,3.7763736,6.792139,15.230854,-3.3461308,6.394306,14.517101,0.851368,8.032221,-9.351221,-11.147756,-0.58680016,-9.756211,-0.16702278,-2.8422148,7.275695,-3.1599247,3.2611265,6.591818,-1.2846713,-8.7022085,14.215335,-0.45845187,19.616594,2.087817,11.838826,17.48168,-4.689717,-3.411919,-2.0090225,-2.2702599,15.59358,4.1340065,-3.0491476,3.8185983,-10.275469,1.1156849,-1.4822807,9.102102,11.310184,-1.5684963,-4.1652017,-5.2616425,14.764223,-1.467469,-1.0957949,-0.86282617,-7.9465957,-19.446198,-10.179856,13.637776,5.069754,-5.5852795,-1.0110964,-5.9340744,22.016376,-0.14071523,-23.881826,-6.8463993,2.6205084,-6.989983,-3.776836,3.590038,-8.748894,-12.013067,-1.0204035,-9.815507,2.1747599,-0.40434933,2.882438,-8.477751,-10.539693,-0.5871342,7.00051,-11.211876,10.592332,10.981002,0.19231087,3.1368449,-8.016657,3.9264405,-1.6932807,24.721554,-7.653982,-5.938742,3.003034,0.5735911,-8.182052,3.1642113,-5.6146474,2.4088688,10.537175,1.6876669,-1.6148012,-4.7453647
TCGA-91-6840-01A,-4.3828297,-8.023108,-10.839705,-0.36903098,8.525647,16.886951,19.36843,-7.6637244,21.149406,-8.39626,9.954457,9.364822,6.3303647,-9.20364,18.078661,1.6792791,-4.1272607,1.2593951,-6.332694,-9.415225,4.0578256,-4.1864996,13.048671,6.6319513,-9.929621,2.2587674,-9.743917,-0.7013373,0.45062432,0.09828811,-4.987375,-7.373528,1.1220298,4.2216363,-9.605395,4.7357135,-1.9390324,-3.7379742,4.875125,-1.874055,5.899834,6.658117,0.6471805,8.0206785,14.038993,5.4484453,-4.2815385,10.838941,2.3057508,6.616648,11.004771,-9.503109,-7.155759,9.535517,7.535673,-4.900447,5.4291267,-1.1979669,-7.2630544,11.016766,-2.6079395,5.120571,12.08902,-12.003584,-2.5920682,12.924643,-12.322664,-15.918198,-5.634038,-20.44586,2.7724423,6.321839,-2.0433342,-12.11383,-12.794483,1.9384543,4.522064,10.483618,-5.023589,-13.317071,-4.082785,16.528276,-21.396585,-7.8715386,11.149016,-11.03951,-0.8428655,5.9080696,1.0694014,-2.2149358,-7.8419137,12.549293,1.7343174,-6.1272836,4.030097,-3.3966243,-9.380788,-5.6421504,-9.285472,-3.5291169
